dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_time,last_loss
aug_mnist,40,3.0,0.0,4.0,1.0,0.72499999981875,0.72499999981875,923.6696743965148,15.394494573275248,18.0,0.6717445479144155
aug_mnist,40,3.0,0.0,4.0,2.0,0.899999999775,0.899999999775,986.4215292930604,16.440358821551005,15.0,0.6721862636316208
aug_mnist,40,3.0,0.0,4.0,3.0,0.899999999775,0.899999999775,1015.8602819442748,16.93100469907125,15.0,0.6406103025265388
aug_mnist,80,3.0,0.0,3.0,1.0,0.94999999988125,0.6999999999125001,1061.615782737732,17.693596378962198,6.0,0.6394639175330965
aug_mnist,80,3.0,0.0,3.0,3.0,0.974999999878125,0.7749999999031251,1538.4953322410583,25.641588870684306,8.0,0.5986142718043694
aug_mnist,2560,1.0,0.0,4.0,1.0,0.6902610441732417,0.6902610441732417,42705.69881439209,711.7616469065348,11.0,0.6539536678765501
aug_mnist,80,3.0,0.0,4.0,1.0,0.6999999999125001,0.6999999999125001,1380.4501373767853,23.00750228961309,13.0,0.6621430223352543
aug_mnist,80,3.0,0.0,3.0,2.0,0.7749999999031251,0.6124999999234375,1715.539309501648,28.592321825027465,17.0,0.6510931532761193
aug_mnist,80,3.0,0.0,4.0,3.0,0.7374999999078126,0.7374999999078126,1342.989912033081,22.38316520055135,17.0,0.6378941666282558
aug_mnist,80,3.0,0.0,4.0,2.0,0.9249999998843752,0.9249999998843752,1993.383093833924,33.22305156389872,17.0,0.6595478575597304
aug_mnist,160,3.0,0.0,3.0,2.0,0.918749999942578,0.6249999999609375,1784.791963815689,29.746532730261485,7.0,0.637889769037433
aug_mnist,160,3.0,0.0,3.0,3.0,0.9749999999390624,0.7249999999546874,2041.8573095798488,34.03095515966415,7.0,0.5930390429126116
aug_mnist,160,3.0,0.0,3.0,1.0,0.9624999999398436,0.6749999999578125,2304.4890832901,38.408151388168335,7.0,0.6383299815255798
aug_mnist,160,3.0,0.0,4.0,2.0,0.8937499999441406,0.8937499999441406,2655.08687376976,44.25144789616267,7.0,0.656449258286456
aug_mnist,160,3.0,0.0,4.0,1.0,0.6874999999570313,0.6874999999570313,3476.900219678879,57.94833699464798,21.0,0.6606699895445846
aug_mnist,160,3.0,0.0,4.0,3.0,0.9312499999417968,0.9312499999417968,3353.035067796707,55.88391779661178,17.0,0.6254560941066838
aug_mnist,320,3.0,0.0,3.0,1.0,0.9718749999696288,0.6343749999801758,3034.9053881168365,50.58175646861394,5.0,0.6387982290783576
aug_mnist,1280,2.0,0.0,4.0,3.0,0.8648437499932434,0.8648437499932434,29100.36723017693,485.0061205029488,18.0,0.6205296164702575
aug_mnist,320,3.0,0.0,3.0,2.0,0.918749999971289,0.609374999980957,3661.957761049271,61.032629350821175,5.0,0.6361417239705609
aug_mnist,2560,2.0,0.0,3.0,1.0,0.9723895582280504,0.6782128514022179,28363.4704682827,472.72450780471166,10.0,0.6401539581989077
aug_mnist,320,3.0,0.0,3.0,3.0,0.9687499999697264,0.7031249999780274,4718.178850650787,78.63631417751313,6.0,0.5966475909761897
aug_mnist,2560,2.0,0.0,3.0,2.0,0.9342369477864748,0.6300200803181224,29576.27151536941,492.9378585894903,17.0,0.6351093554471956
aug_mnist,320,3.0,0.0,4.0,1.0,0.6937499999783203,0.6937499999783203,5448.65638256073,90.8109397093455,20.0,0.6576220023426542
aug_mnist,2560,1.0,0.0,4.0,2.0,0.8584337349354497,0.8584337349354497,52585.106534957886,876.4184422492981,17.0,0.653488739726375
aug_mnist,320,3.0,0.0,4.0,2.0,0.8406249999737304,0.8406249999737304,6417.995114564896,106.96658524274828,13.0,0.6434220975436367
aug_mnist,2560,2.0,0.0,3.0,3.0,0.9708835341316724,0.6972891566230056,31320.97273182869,522.0162121971448,17.0,0.5946626192308085
aug_mnist,640,3.0,0.0,3.0,2.0,0.9343749999854004,0.6421874999899658,7059.7153079509735,117.66192179918288,6.0,0.6371199840207686
aug_mnist,320,3.0,0.0,4.0,3.0,0.8437499999736328,0.8437499999736328,8344.991130590439,139.08318550984066,20.0,0.6243086296124865
aug_mnist,640,3.0,0.0,3.0,1.0,0.9703124999848388,0.6656249999895996,8212.424969911575,136.87374949852625,28.0,0.6412497502465189
aug_mnist,640,3.0,0.0,3.0,3.0,0.9718749999848144,0.7499999999882813,9277.90584397316,154.63176406621932,6.0,0.5994997775460986
aug_mnist,2560,1.0,0.0,4.0,3.0,0.8448795180680478,0.8448795180680478,59594.81028318405,993.2468380530676,24.0,0.622543286082697
aug_mnist,640,3.0,0.0,4.0,1.0,0.6874999999892578,0.6874999999892578,10420.1245136261,173.6687418937683,26.0,0.6567868924038307
aug_mnist,5120,1.0,0.0,3.0,2.0,0.912148594372931,0.6184738955792246,61707.29492592812,1028.4549154321353,11.0,0.6341312807786001
aug_mnist,640,3.0,0.0,4.0,2.0,0.882812499986206,0.882812499986206,11893.308852910995,198.2218142151833,26.0,0.6444298475880068
aug_mnist,640,3.0,0.0,4.0,3.0,0.8687499999864258,0.8687499999864258,10689.624150276184,178.16040250460307,24.0,0.6345785879989653
aug_mnist,1280,3.0,0.0,3.0,1.0,0.9757812499923768,0.6867187499946351,14173.203337192535,236.2200556198756,14.0,0.638493102783937
aug_mnist,1280,3.0,0.0,3.0,2.0,0.9429687499926332,0.6382812499950135,14885.736436605452,248.0956072767576,14.0,0.6344030559013396
aug_mnist,2560,2.0,0.0,4.0,1.0,0.6767068273058399,0.6767068273058399,45400.51471114159,756.6752451856931,13.0,0.6554453712676194
aug_mnist,5120,1.0,0.0,3.0,1.0,0.9743975903565544,0.6882530120447378,69302.536703825,1155.0422783970832,20.0,0.6391611987339888
aug_mnist,1280,3.0,0.0,3.0,3.0,0.9789062499923524,0.7492187499941468,16362.76384305954,272.712730717659,12.0,0.594594039912347
aug_mnist,2560,2.0,0.0,4.0,3.0,0.8669678714815916,0.8669678714815916,47600.12176561356,793.335362760226,19.0,0.6266037791942916
aug_mnist,20,4.0,0.0,3.0,1.0,0.8499999995749999,0.5999999997,280.95188570022583,4.682531428337097,15.0,0.654008131296264
aug_mnist,20,4.0,0.0,3.0,2.0,0.6999999996499999,0.549999999725,275.7951183319092,4.59658530553182,9.0,0.6525391462162796
aug_mnist,20,4.0,0.0,3.0,3.0,0.7999999996,0.549999999725,280.13899660110474,4.668983276685079,19.0,0.6186205887681623
aug_mnist,20,4.0,0.0,4.0,1.0,0.5999999997,0.5999999997,344.79518818855286,5.746586469809214,11.0,0.6709885063392722
aug_mnist,20,4.0,0.0,4.0,2.0,0.549999999725,0.549999999725,359.8835430145264,5.998059050242106,28.0,0.6574178674510228
aug_mnist,20,4.0,0.0,4.0,3.0,0.749999999625,0.749999999625,318.7748649120331,5.312914415200551,13.0,0.6279064008434261
aug_mnist,40,4.0,0.0,3.0,1.0,0.92499999976875,0.67499999983125,400.789781332016,6.679829688866933,10.0,0.6429695235075468
aug_mnist,40,4.0,0.0,3.0,2.0,0.92499999976875,0.59999999985,431.5404546260834,7.192340910434723,6.0,0.6468513725570981
aug_mnist,40,4.0,0.0,3.0,3.0,0.99999999975,0.77499999980625,437.7823967933655,7.296373279889424,10.0,0.6016620554015903
aug_mnist,40,4.0,0.0,4.0,1.0,0.7499999998125,0.7499999998125,565.4771211147308,9.424618685245514,33.0,0.6678873948573278
aug_mnist,5120,1.0,0.0,3.0,3.0,0.9738955823244284,0.6947791164623757,75262.52812099457,1254.3754686832428,8.0,0.5991156297910434
aug_mnist,40,4.0,0.0,4.0,2.0,0.8249999997937499,0.8249999997937499,595.8788688182831,9.931314480304716,10.0,0.6715028397550292
aug_mnist,40,4.0,0.0,4.0,3.0,0.97499999975625,0.97499999975625,689.0386190414429,11.483976984024048,10.0,0.6291326783514755
aug_mnist,2560,2.0,0.0,4.0,2.0,0.8790160642526155,0.8790160642526155,53376.405133485794,889.6067522247632,26.0,0.642807919380538
aug_mnist,80,4.0,0.0,3.0,1.0,0.9624999998796876,0.6749999999156251,864.1227259635925,14.402045432726542,12.0,0.6337502371472674
aug_mnist,80,4.0,0.0,3.0,2.0,0.94999999988125,0.6624999999171876,1001.3686661720276,16.68947776953379,11.0,0.638564139524748
