dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch,last_loss,convergence_time
nwpu,640,2.0,0.0,4.0,3.0,0.63499999996825,0.63499999996825,9300.242384195328,155.0040397365888,53.0,0.6772477602852859,
nwpu,80,3.0,0.0,3.0,3.0,0.5624999999296876,0.54999999993125,891.0289342403412,14.85048223733902,11.0,0.6844580202439181,
nwpu,80,3.0,0.0,4.0,1.0,0.6749999999156251,0.6749999999156251,1031.331279039383,17.18885465065638,11.0,0.693887477430392,
nwpu,640,2.0,0.0,4.0,2.0,0.6499999999675,0.6499999999675,9956.524677753448,165.94207796255748,16.0,0.6847199118030372,
nwpu,80,3.0,0.0,4.0,2.0,0.6749999999156251,0.6749999999156251,1436.3011598587036,23.93835266431173,5.0,0.6916257511704896,
nwpu,80,3.0,0.0,4.0,3.0,0.6374999999203126,0.6374999999203126,1549.0550258159635,25.817583763599394,5.0,0.6867018257713249,
nwpu,160,3.0,0.0,3.0,3.0,0.549999999965625,0.6374999999601563,1825.624713420868,30.427078557014465,28.0,0.6834838115741798,
nwpu,160,3.0,0.0,3.0,1.0,0.5312499999667969,0.5999999999625,2020.0889747142792,33.66814957857132,28.0,0.69095413263294,
nwpu,160,3.0,0.0,3.0,2.0,0.6062499999621094,0.5874999999632812,2197.659868001938,36.62766446669897,28.0,0.689246695594625,
nwpu,160,3.0,0.0,4.0,1.0,0.6249999999609375,0.6249999999609375,2053.9499337673187,34.23249889612198,28.0,0.6916937678620043,
nwpu,160,3.0,0.0,4.0,2.0,0.6749999999578125,0.6749999999578125,2351.72461605072,39.195410267512,11.0,0.6906574540898676,
nwpu,160,3.0,0.0,4.0,3.0,0.6437499999597656,0.6437499999597656,2371.911010503769,39.531850175062814,11.0,0.6875012230443418,
nwpu,1280,2.0,0.0,3.0,1.0,0.6299999999685,0.6499999999675,13509.826792001724,225.1637798666954,60.0,0.6841365276120713,
nwpu,2560,2.0,0.0,3.0,2.0,0.59999999997,0.58499999997075,11943.060309171677,199.05100515286128,60.0,0.6894668020349903,
nwpu,320,3.0,0.0,3.0,1.0,0.60499999996975,0.59999999997,3983.519902944565,66.39199838240941,56.0,0.6878207784676185,
nwpu,320,3.0,0.0,3.0,3.0,0.6299999999685,0.66499999996675,3911.9344103336334,65.19890683889389,19.0,0.6835612815404901,
nwpu,1280,2.0,0.0,3.0,3.0,0.6399999999679999,0.62499999996875,14026.57919716835,233.77631995280584,45.0,0.6823171047312779,
