dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time
eurosat,20,1,0,4,3,0.3999999998,0.3999999998,330.49763584136963,5.508293930689494
eurosat,20,1,0,4,3,0.3999999998,0.3999999998,330.49763584136963,5.508293930689494
eurosat,20,2,0,3,1,0.3999999998,0.3999999998,189.8965985774994,3.1649433096249897
eurosat,20,2,0,3,1,0.3999999998,0.3999999998,189.8965985774994,3.1649433096249897
eurosat,20,2,0,3,2,0.3999999998,0.3999999998,190.46253180503845,3.174375530083974
eurosat,20,2,0,3,2,0.3999999998,0.3999999998,190.46253180503845,3.174375530083974
eurosat,20,2,0,3,3,0.3999999998,0.3999999998,189.1187915802002,3.151979859670003
eurosat,20,2,0,3,3,0.3999999998,0.3999999998,189.1187915802002,3.151979859670003
eurosat,20,2,0,4,1,0.3999999998,0.3999999998,235.73851609230042,3.928975268205007
eurosat,20,2,0,4,1,0.3999999998,0.3999999998,235.73851609230042,3.928975268205007
eurosat,20,2,0,4,2,0.3999999998,0.3999999998,262.89153385162354,4.381525564193725
eurosat,20,2,0,4,2,0.3999999998,0.3999999998,262.89153385162354,4.381525564193725
eurosat,20,2,0,4,3,0.3999999998,0.3999999998,283.85348558425903,4.730891426404317
eurosat,20,2,0,4,3,0.3999999998,0.3999999998,283.85348558425903,4.730891426404317
eurosat,20,3,0,3,1,0.3999999998,0.3999999998,449.1541283130646,7.485902138551077
eurosat,20,3,0,3,1,0.3999999998,0.3999999998,449.1541283130646,7.485902138551077
eurosat,20,3,0,3,2,0.3999999998,0.3999999998,418.6874647140503,6.978124411900838
eurosat,20,3,0,3,2,0.3999999998,0.3999999998,418.6874647140503,6.978124411900838
eurosat,20,3,0,3,3,0.3999999998,0.3999999998,403.9058392047882,6.73176398674647
eurosat,20,3,0,3,3,0.3999999998,0.3999999998,403.9058392047882,6.73176398674647
eurosat,20,3,0,4,1,0.3999999998,0.3999999998,542.8463168144226,9.04743861357371
eurosat,20,3,0,4,1,0.3999999998,0.3999999998,542.8463168144226,9.04743861357371
eurosat,20,3,0,4,2,0.3999999998,0.3999999998,679.5430059432983,11.325716765721639
eurosat,20,3,0,4,2,0.3999999998,0.3999999998,679.5430059432983,11.325716765721639
eurosat,20,3,0,4,3,0.3999999998,0.3999999998,611.1163773536682,10.18527295589447
eurosat,20,3,0,4,3,0.3999999998,0.3999999998,611.1163773536682,10.18527295589447
eurosat,20,4,0,3,1,0.3999999998,0.3999999998,532.6870679855347,8.878117799758911
eurosat,20,4,0,3,1,0.3999999998,0.3999999998,532.6870679855347,8.878117799758911
eurosat,20,4,0,3,2,0.3999999998,0.3999999998,432.37274193763733,7.206212365627289
eurosat,20,4,0,3,2,0.3999999998,0.3999999998,432.37274193763733,7.206212365627289
eurosat,20,4,0,3,3,0.3999999998,0.3999999998,334.6415500640869,5.577359167734782
eurosat,20,4,0,3,3,0.3999999998,0.3999999998,334.6415500640869,5.577359167734782
eurosat,20,4,0,4,1,0.3999999998,0.3999999998,639.1279337406158,10.652132229010265
eurosat,20,4,0,4,1,0.3999999998,0.3999999998,639.1279337406158,10.652132229010265
eurosat,20,4,0,4,2,0.3999999998,0.3999999998,581.0638399124146,9.684397331873576
eurosat,20,4,0,4,2,0.3999999998,0.3999999998,581.0638399124146,9.684397331873576
eurosat,20,4,0,4,3,0.3999999998,0.3999999998,473.33257579803467,7.888876263300578
eurosat,20,4,0,4,3,0.3999999998,0.3999999998,473.33257579803467,7.888876263300578
eurosat,320,1,0,3,1,0.518749999983789,0.48124999998496093,3496.4338393211365,58.27389732201894
eurosat,320,1,0,3,1,0.518749999983789,0.48124999998496093,3496.4338393211365,58.27389732201894
eurosat,320,1,0,3,2,0.5531249999827148,0.5531249999827148,3087.602325439453,51.46003875732422
eurosat,320,1,0,3,2,0.5531249999827148,0.5531249999827148,3087.602325439453,51.46003875732422
eurosat,320,1,0,3,3,0.6062499999810547,0.6124999999808594,3145.645119190216,52.42741865317027
eurosat,320,1,0,3,3,0.6062499999810547,0.6124999999808594,3145.645119190216,52.42741865317027
eurosat,320,1,0,4,1,0.4437499999861328,0.4437499999861328,4177.6429708004,69.62738284667333
eurosat,320,1,0,4,1,0.4437499999861328,0.4437499999861328,4177.6429708004,69.62738284667333
eurosat,320,1,0,4,2,0.528124999983496,0.528124999983496,4479.7817261219025,74.66302876869837
eurosat,320,1,0,4,2,0.528124999983496,0.528124999983496,4479.7817261219025,74.66302876869837
eurosat,320,1,0,4,3,0.4499999999859375,0.4499999999859375,4419.302141904831,73.65503569841385
eurosat,320,1,0,4,3,0.4499999999859375,0.4499999999859375,4419.302141904831,73.65503569841385
eurosat,320,2,0,3,1,0.4656249999854492,0.44687499998603514,2744.249145269394,45.737485754489896
eurosat,320,2,0,3,1,0.4656249999854492,0.44687499998603514,2744.249145269394,45.737485754489896
