dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
mnist,320,10,0.05,3,2,0.6874999999785156,0.5312499999833984,7622.779819726944,127.0463303287824,9
mnist,320,10,0.035,3,2,0.690624999978418,0.5812499999818359,8720.424666881561,145.3404111146927,9
mnist,320,10,0.04,3,2,0.7999999999749999,0.6249999999804687,8270.683490753174,137.84472484588622,9
mnist,320,7,0.045,3,2,0.7187499999775391,0.4656249999854492,8236.751098871231,137.27918498118717,34
mnist,320,9,0.045,3,2,0.909374999971582,0.4718749999852539,8412.701178073883,140.2116863012314,16
mnist,320,2,0.045,3,2,0.7187499999775391,0.4656249999854492,8716.060178279877,145.26766963799795,24
mnist,320,5,0.045,3,2,0.909374999971582,0.4718749999852539,8780.141862630844,146.33569771051407,16
mnist,320,1,0.045,3,2,0.909374999971582,0.4718749999852539,8789.615771055222,146.4935961842537,16
mnist,320,6,0.045,3,2,0.7187499999775391,0.4656249999854492,8796.668161869049,146.6111360311508,24
mnist,320,4,0.045,3,2,0.7593749999762696,0.5624999999824218,8826.503019094467,147.10838365157446,9
mnist,320,10,0.045,3,2,0.7593749999762696,0.5624999999824218,8850.214061498642,147.50356769164404,9
mnist,320,8,0.045,3,2,0.7187499999775391,0.47499999998515624,8870.993553161621,147.8498925526937,24
mnist,320,3,0.045,3,2,0.909374999971582,0.4718749999852539,8980.821524620056,149.6803587436676,23
mnist,320,1,0,4,2,0.8687499999728515,0.8687499999728515,37637.09538578987,627.2849230964979,9
mnist,320,1,0.001,4,2,0.8687499999728515,0.8687499999728515,68309.25553274155,1138.487592212359,9
mnist,320,1,0.005,4,2,0.8656249999729492,0.8656249999729492,66126.09844565392,1102.1016407608986,9
mnist,320,1,0.01,4,2,0.8656249999729492,0.8656249999729492,66985.19018626213,1116.419836437702,9
mnist,320,1,0.015,4,2,0.8593749999731445,0.8593749999731445,72192.41272473335,1203.206878745556,19
mnist,320,1,0.02,4,2,0.8656249999729492,0.8656249999729492,75027.10070967674,1250.4516784946125,19
mnist,320,1,0.025,4,2,0.8562499999732421,0.8562499999732421,71952.01574349403,1199.2002623915673,19
mnist,320,1,0.03,4,2,0.8531249999733398,0.8531249999733398,68381.40275239944,1139.6900458733242,19
mnist,320,1,0.035,4,2,0.8781249999725586,0.8781249999725586,73409.59353160858,1223.4932255268097,24
mnist,320,1,0.04,4,2,0.8906249999721679,0.8906249999721679,73599.08309102058,1226.651384850343,19
mnist,320,1,0.045,4,2,0.8906249999721679,0.8906249999721679,74289.27667093277,1238.1546111822129,19
mnist,320,1,0.05,4,2,0.8874999999722656,0.8874999999722656,73595.47307014465,1226.5912178357441,24
mnist,320,2,0.001,4,2,0.8531249999733398,0.8531249999733398,69531.25482344627,1158.854247057438,9
mnist,320,2,0.005,4,2,0.8968749999719726,0.8968749999719726,70498.87357759476,1174.981226293246,19
mnist,320,2,0.01,4,2,0.8937499999720703,0.8937499999720703,68876.28833460808,1147.9381389101347,19
mnist,320,2,0.015,4,2,0.8718749999727539,0.8718749999727539,69153.09436798096,1152.5515727996826,19
mnist,320,2,0.02,4,2,0.8874999999722656,0.8874999999722656,68858.4016418457,1147.640027364095,34
mnist,320,2,0.025,4,2,0.8718749999727539,0.8718749999727539,74161.63281989098,1236.0272136648496,24
mnist,320,2,0.03,4,2,0.8749999999726562,0.8749999999726562,73716.12234854698,1228.6020391424497,24
mnist,320,2,0.035,4,2,0.8781249999725586,0.8781249999725586,73675.52481484413,1227.9254135807355,24
mnist,320,2,0.04,4,2,0.8749999999726562,0.8749999999726562,75987.1869354248,1266.4531155904135,19
mnist,320,2,0.045,4,2,0.8781249999725586,0.8781249999725586,75270.50224542618,1254.508370757103,19
mnist,320,2,0.05,4,2,0.8749999999726562,0.8749999999726562,74434.07196426392,1240.5678660710653,16
mnist,320,3,0,4,2,0.8687499999728515,0.8687499999728515,36793.7605407238,613.2293423453967,24
mnist,320,3,0.001,4,2,0.8687499999728515,0.8687499999728515,70926.3572499752,1182.1059541662535,24
mnist,320,3,0.005,4,2,0.8656249999729492,0.8656249999729492,82747.50800085068,1379.1251333475113,24
mnist,320,3,0.01,4,2,0.8656249999729492,0.8656249999729492,82007.28010678291,1366.7880017797152,19
mnist,320,3,0.015,4,2,0.8718749999727539,0.8718749999727539,83148.77123403549,1385.8128539005916,9
mnist,320,3,0.02,4,2,0.8718749999727539,0.8718749999727539,83465.48291993141,1391.0913819988568,24
mnist,320,3,0.025,4,2,0.8718749999727539,0.8718749999727539,84132.06830310822,1402.201138385137,24
mnist,320,3,0.03,4,2,0.8749999999726562,0.8749999999726562,83424.20157051086,1390.4033595085143,24
mnist,320,3,0.035,4,2,0.8781249999725586,0.8781249999725586,83135.94526052475,1385.5990876754124,24
mnist,320,3,0.04,4,2,0.8312499999740234,0.8312499999740234,83225.77300620079,1387.0962167700131,16
mnist,320,3,0.045,4,2,0.8749999999726562,0.8749999999726562,83801.96002101898,1396.6993336836497,24
mnist,320,3,0.05,4,2,0.8718749999727539,0.8718749999727539,79288.9348564148,1321.4822476069132,24
mnist,320,4,0,4,2,0.8687499999728515,0.8687499999728515,3694.345401287079,61.57242335478465,19
mnist,320,4,0.001,4,2,0.8687499999728515,0.8687499999728515,80495.4640648365,1341.591067747275,9
mnist,320,4,0.005,4,2,0.8656249999729492,0.8656249999729492,83485.15813136101,1391.4193021893502,9
mnist,320,4,0.01,4,2,0.8656249999729492,0.8656249999729492,82736.81120443344,1378.9468534072241,9
mnist,320,4,0.015,4,2,0.8718749999727539,0.8718749999727539,83698.62788271904,1394.9771313786507,9
mnist,320,4,0.02,4,2,0.8718749999727539,0.8718749999727539,83306.76186871529,1388.4460311452547,19
mnist,320,4,0.025,4,2,0.8718749999727539,0.8718749999727539,81360.63416743279,1356.010569457213,19
mnist,320,4,0.03,4,2,0.8749999999726562,0.8749999999726562,84139.2519993782,1402.3208666563035,19
mnist,320,4,0.035,4,2,0.8781249999725586,0.8781249999725586,83525.51387763023,1392.091897960504,24
mnist,320,4,0.04,4,2,0.8874999999722656,0.8874999999722656,83975.28473043442,1399.5880788405736,19
mnist,320,4,0.045,4,2,0.8812499999724609,0.8812499999724609,83989.31277394295,1399.8218795657158,19
mnist,320,4,0.05,4,2,0.8312499999740234,0.8312499999740234,82893.89439940453,1381.564906656742,19
mnist,320,5,0,4,2,0.8687499999728515,0.8687499999728515,3384.7415628433228,56.412359380722044,19
mnist,320,5,0.001,4,2,0.8687499999728515,0.8687499999728515,67807.41316008568,1130.1235526680946,19
mnist,320,5,0.005,4,2,0.8656249999729492,0.8656249999729492,70706.97102308273,1178.449517051379,19
mnist,320,5,0.01,4,2,0.8656249999729492,0.8656249999729492,68692.36426448822,1144.8727377414702,19
mnist,320,5,0.015,4,2,0.8687499999728515,0.8687499999728515,69931.21031498909,1165.5201719164847,37
mnist,320,5,0.02,4,2,0.8624999999730468,0.8624999999730468,71124.6913368702,1185.41152228117,24
mnist,320,5,0.025,4,2,0.8562499999732421,0.8562499999732421,68956.04192709923,1149.2673654516539,19
mnist,320,5,0.03,4,2,0.8749999999726562,0.8749999999726562,68366.00349283218,1139.433391547203,19
mnist,320,5,0.035,4,2,0.8781249999725586,0.8781249999725586,70317.05515146255,1171.9509191910427,19
mnist,320,5,0.04,4,2,0.8749999999726562,0.8749999999726562,68791.17687630653,1146.519614605109,19
mnist,320,5,0.045,4,2,0.8781249999725586,0.8781249999725586,70290.00359225273,1171.5000598708789,19
mnist,320,5,0.05,4,2,0.8749999999726562,0.8749999999726562,68856.92376971245,1147.615396161874,19
mnist,320,6,0,4,2,0.8687499999728515,0.8687499999728515,3845.710695028305,64.09517825047175,19
mnist,320,6,0.001,4,2,0.8687499999728515,0.8687499999728515,73507.27242898941,1225.1212071498235,19
mnist,320,6,0.005,4,2,0.8656249999729492,0.8656249999729492,68411.1556634903,1140.1859277248382,19
mnist,320,6,0.01,4,2,0.8656249999729492,0.8656249999729492,75074.62262320518,1251.243710386753,24
mnist,320,6,0.015,4,2,0.8718749999727539,0.8718749999727539,74778.85481309891,1246.3142468849817,24
