dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch,last_loss
mnist,160.0,2.0,0.0,3.0,2.0,0.8624999999460937,0.6374999999601563,2617.6920771598816,43.62820128599802,21.0,0.6073382234193778
mnist,160.0,2.0,0.0,3.0,3.0,0.9812499999386718,0.7312499999542968,2177.3090739250183,36.28848456541697,12.0,0.5291382038262581
mnist,160.0,2.0,0.0,4.0,1.0,0.6124999999617187,0.6124999999617187,2725.805380821228,45.4300896803538,21.0,0.6476346718860213
mnist,160.0,2.0,0.0,4.0,2.0,0.9062499999433592,0.9062499999433592,2656.2508928775787,44.27084821462631,21.0,0.6280692505443943
mnist,160.0,2.0,0.0,4.0,3.0,0.9437499999410156,0.9437499999410156,2544.209276676178,42.403487944602965,44.0,0.6099907177305447
mnist,640.0,1.0,0.0,4.0,2.0,0.8765624999863036,0.8765624999863036,12588.177628040314,209.80296046733852,27.0,0.6250233679912183
mnist,640.0,1.0,0.0,4.0,1.0,0.5968749999906738,0.5968749999906738,13501.823570728302,225.0303928454717,18.0,0.6411346483130413
mnist,320.0,2.0,0.0,3.0,1.0,0.9656249999698242,0.6312499999802734,3415.90735912323,56.9317893187205,9.0,0.595115329604625
mnist,320.0,2.0,0.0,3.0,2.0,0.7593749999762696,0.518749999983789,3993.8534729480734,66.56422454913458,38.0,0.6107350116777301
mnist,1280.0,1.0,0.0,3.0,1.0,0.96640624999245,0.6562499999948731,15148.416412830353,252.47360688050588,21.0,0.5978191977692628
mnist,1280.0,1.0,0.0,3.0,2.0,0.9414062499926452,0.5578124999956421,15173.965231657028,252.89942052761717,18.0,0.5883002680494125
mnist,320.0,2.0,0.0,4.0,1.0,0.6124999999808594,0.6124999999808594,5269.054602146149,87.81757670243582,19.0,0.643650489429387
mnist,320.0,2.0,0.0,3.0,3.0,0.9781249999694336,0.6437499999798828,5816.751451969147,96.94585753281912,24.0,0.5098425024588523
mnist,320.0,2.0,0.0,4.0,2.0,0.8531249999733398,0.8531249999733398,5590.509436130524,93.17515726884206,9.0,0.6365581798354543
mnist,320.0,2.0,0.0,4.0,3.0,0.8687499999728515,0.8687499999728515,5721.866721868515,95.36444536447524,32.0,0.6061263012696633
mnist,1280.0,1.0,0.0,3.0,3.0,0.9570312499925232,0.6703124999947633,17539.706603050232,292.3284433841705,29.0,0.5131075930555313
mnist,640.0,2.0,0.0,3.0,1.0,0.9484374999851808,0.6624999999896485,6894.611044645309,114.91018407742182,12.0,0.5961958235409087
mnist,1280.0,1.0,0.0,4.0,1.0,0.6007812499953065,0.6007812499953065,20848.25557398796,347.4709262331327,12.0,0.638451819414873
mnist,640.0,2.0,0.0,3.0,2.0,0.9156249999856934,0.7031249999890137,9925.111615419388,165.41852692365646,31.0,0.6032444697524227
mnist,640.0,2.0,0.0,4.0,1.0,0.5968749999906738,0.5968749999906738,9259.856090545654,154.33093484242758,18.0,0.641134628047462
mnist,640.0,2.0,0.0,3.0,3.0,0.951562499985132,0.6578124999897217,10148.439326047896,169.14065543413162,22.0,0.506885150365062
mnist,640.0,2.0,0.0,4.0,2.0,0.8765624999863036,0.8765624999863036,11152.09228181839,185.86820469697315,27.0,0.6250100427768325
mnist,640.0,2.0,0.0,4.0,3.0,0.8703124999864014,0.8703124999864014,10800.46091246605,180.00768187443416,46.0,0.5944665300753214
mnist,1280.0,1.0,0.0,4.0,3.0,0.8578124999932984,0.8578124999932984,28298.63546538353,471.6439244230588,37.0,0.5920793354465006
mnist,1280.0,2.0,0.0,3.0,1.0,0.96640624999245,0.6562499999948731,14175.4109044075,236.25684840679168,12.0,0.5978176885796573
mnist,1280.0,1.0,0.0,4.0,2.0,0.905468749992926,0.905468749992926,29403.739354372025,490.0623225728671,12.0,0.6235129088114665
mnist,2560.0,1.0,0.0,3.0,2.0,0.9603413654570264,0.6094377510009567,29397.915011405945,489.9652501900991,16.0,0.5875567334867415
mnist,1280.0,2.0,0.0,3.0,2.0,0.8507812499933534,0.4945312499961365,15863.030286312103,264.38383810520173,15.0,0.6072962951612711
mnist,1280.0,2.0,0.0,3.0,3.0,0.9749999999923828,0.6617187499948304,17180.105570316315,286.33509283860525,23.0,0.5088259184320751
mnist,20.0,3.0,0.0,3.0,1.0,0.8499999995749999,0.549999999725,240.9523994922638,4.015873324871063,13.0,0.608375118070637
mnist,20.0,3.0,0.0,3.0,2.0,0.6999999996499999,0.549999999725,259.7867343425751,4.329778905709585,32.0,0.5894663664731501
mnist,20.0,3.0,0.0,3.0,3.0,0.89999999955,0.49999999975,263.15156292915344,4.3858593821525576,13.0,0.52515498582093
mnist,20.0,3.0,0.0,4.0,1.0,0.549999999725,0.549999999725,310.37548089027405,5.172924681504568,32.0,0.6632931938431199
mnist,2560.0,1.0,0.0,3.0,3.0,0.9623493975855304,0.665662650599068,33648.48186993599,560.8080311655998,16.0,0.5101367723921876
mnist,2560.0,1.0,0.0,3.0,1.0,0.9618473895534044,0.6772088353379658,34439.14366769791,573.9857277949651,21.0,0.5982763361907477
mnist,20.0,3.0,0.0,4.0,2.0,0.749999999625,0.749999999625,328.80620789527893,5.480103464921315,47.0,0.6429014828566879
mnist,20.0,3.0,0.0,4.0,3.0,0.749999999625,0.749999999625,333.2665100097656,5.554441833496094,47.0,0.5979106536498285
mnist,40.0,3.0,0.0,3.0,1.0,0.92499999976875,0.6499999998375,519.9308376312256,8.665513960520427,13.0,0.5959273485839665
mnist,40.0,3.0,0.0,3.0,2.0,0.59999999985,0.62499999984375,487.3003587722778,8.121672646204631,13.0,0.6144096229924546
mnist,40.0,3.0,0.0,3.0,3.0,0.99999999975,0.6999999998249999,462.1738712787628,7.702897854646047,21.0,0.5346584673379349
mnist,40.0,3.0,0.0,4.0,1.0,0.6999999998249999,0.6999999998249999,640.8320729732513,10.680534549554189,53.0,0.6622252796424881
mnist,40.0,3.0,0.0,4.0,2.0,0.67499999983125,0.67499999983125,659.697215795517,10.99495359659195,13.0,0.6652359531646846
mnist,40.0,3.0,0.0,4.0,3.0,0.9499999997625,0.9499999997625,694.8477201461792,11.580795335769654,53.0,0.6152056579243923
mnist,1280.0,2.0,0.0,4.0,1.0,0.6007812499953065,0.6007812499953065,19850.952512025837,330.8492085337639,12.0,0.6384517633865068
mnist,80.0,3.0,0.0,3.0,1.0,0.9624999998796876,0.724999999909375,889.2861478328705,14.821435797214509,8.0,0.5912232106185028
mnist,80.0,3.0,0.0,3.0,2.0,0.5999999999250001,0.54999999993125,948.7495970726012,15.812493284543356,17.0,0.6137506609387918
mnist,80.0,3.0,0.0,3.0,3.0,0.94999999988125,0.7499999999062501,1112.9659609794617,18.54943268299103,10.0,0.5274409838851617
mnist,80.0,3.0,0.0,4.0,2.0,0.974999999878125,0.974999999878125,1239.6293804645538,20.66048967440923,17.0,0.6292778592515177
mnist,80.0,3.0,0.0,4.0,1.0,0.6124999999234375,0.6124999999234375,1321.4808423519137,22.024680705865222,35.0,0.6469803547050467
