dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
mnist,160,3,0,4,1,0.6124999999617187,0.6124999999617187,3328.9092688560486,55.48182114760081,21
mnist,160,3,0,4,3,0.9124999999429687,0.9124999999429687,2776.4187109470367,46.273645182450615,56
mnist,2560,1,0,4,1,0.5983935742941848,0.5983935742941848,42116.833285331726,701.9472214221954,16
mnist,320,3,0,3,2,0.7593749999762696,0.5124999999839843,3411.132987976074,56.852216466267905,9
mnist,320,3,0,3,1,0.9656249999698242,0.6312499999802734,3509.2380459308624,58.48730076551438,24
mnist,320,3,0,3,3,0.9781249999694336,0.6406249999799805,3410.376719236374,56.839611987272896,12
mnist,2560,2,0,3,1,0.9618473895534044,0.6772088353379658,25712.621046066284,428.54368410110476,13
mnist,320,3,0,4,2,0.8687499999728515,0.8687499999728515,4482.6604180336,74.71100696722667,24
mnist,320,3,0,4,1,0.6124999999808594,0.6124999999808594,4925.557524442673,82.09262540737788,19
mnist,2560,1,0,4,2,0.8920682730878913,0.8920682730878913,45622.311021089554,760.3718503514925,16
mnist,320,3,0,4,3,0.8218749999743163,0.8218749999743163,5487.051848649979,91.45086414416632,47
mnist,640,3,0,3,2,0.7671874999880127,0.5578124999912841,7081.878098726273,118.03130164543788,23
mnist,640,3,0,3,1,0.9484374999851807,0.6624999999896485,8606.51240849495,143.4418734749158,12
mnist,2560,2,0,3,2,0.9011044176661591,0.6997991967836356,30056.843030691147,500.9473838448524,41
mnist,640,3,0,3,3,0.9593749999850097,0.6703124999895264,8982.92965054512,149.715494175752,14
mnist,640,3,0,4,1,0.5968749999906738,0.5968749999906738,10385.59818315506,173.09330305258433,18
mnist,2560,2,0,3,3,0.9623493975855304,0.665662650599068,33539.85079884529,558.9975133140882,16
mnist,640,3,0,4,3,0.8203124999871826,0.8203124999871826,11623.226696968079,193.72044494946797,31
mnist,640,3,0,4,2,0.8765624999863036,0.8765624999863036,12545.945342540741,209.0990890423457,27
mnist,1280,3,0,3,1,0.9664062499924501,0.6562499999948731,12280.619005441666,204.67698342402775,21
mnist,1280,3,0,3,2,0.6718749999947511,0.5203124999959351,13220.598162412643,220.34330270687738,12
