N,seed,non_equivariance,p_err,max_val_acc,max_epoch
320,42,0,0.03,0.7906249999752929,8
320,42,0,0.04,0.7937499999751952,6
320,42,0,0.05,0.7999999999749999,6
320,42,0,0.06,0.8062499999748046,6
320,42,0,0.07,0.7999999999749999,5
320,42,0,0.08,0.8031249999749023,4
320,42,0,0.09,0.8218749999743163,20
320,42,0,0.1,0.8406249999737304,24
320,42,1,0.01,0.818749999974414,23
320,42,1,0.02,0.8031249999749023,10
320,42,1,0.03,0.7749999999757813,9
320,42,1,0.04,0.7624999999761719,10
320,42,1,0.05,0.7406249999768555,9
320,42,1,0.06,0.7187499999775391,13
320,42,1,0.07,0.7156249999776367,9
320,42,1,0.08,0.6531249999795898,13
320,42,1,0.09,0.6406249999799805,2
320,42,1,0.1,0.6156249999807617,1
320,42,2,0.01,0.818749999974414,23
320,42,2,0.02,0.8031249999749023,35
320,42,2,0.03,0.781249999975586,23
320,42,2,0.04,0.7624999999761719,8
320,42,2,0.05,0.7437499999767578,35
320,42,2,0.06,0.7562499999763672,33
320,42,2,0.07,0.7249999999773438,35
320,42,2,0.08,0.6968749999782227,35
320,42,2,0.09,0.6687499999791016,33
320,42,2,0.1,0.59999999998125,3
320,42,3,0.01,0.8718749999727539,35
320,42,3,0.02,0.8718749999727539,33
320,42,3,0.03,0.8687499999728515,32
320,42,3,0.04,0.8687499999728515,30
320,42,3,0.05,0.8718749999727539,24
320,42,3,0.06,0.8656249999729492,23
320,42,3,0.07,0.8656249999729492,22
320,42,3,0.08,0.8624999999730468,21
320,42,3,0.09,0.8656249999729492,21
320,42,3,0.1,0.8624999999730468,21
320,42,4,0.01,0.8374999999738281,27
320,42,4,0.02,0.8374999999738281,27
320,42,4,0.03,0.8374999999738281,27
320,42,4,0.04,0.8406249999737304,27
320,42,4,0.05,0.8312499999740234,27
320,42,4,0.06,0.828124999974121,27
320,42,4,0.07,0.8249999999742187,27
320,42,4,0.08,0.8218749999743163,27
320,42,4,0.09,0.8218749999743163,27
320,42,4,0.1,0.8124999999746093,27
20,101,0,0.0,1.0,7
20,101,0,0.01,1.0,18
20,101,0,0.02,0.95,4
20,101,0,0.03,0.95,4
20,101,0,0.04,0.95,4
20,101,0,0.05,0.95,5
20,101,0,0.06,0.95,5
20,101,0,0.07,0.9,1
20,101,0,0.08,0.9,1
20,101,0,0.09,0.9,2
20,101,0,0.1,0.9,2
20,101,1,0.0,1.0,3
20,101,1,0.01,0.9,3
20,101,1,0.02,0.85,2
20,101,1,0.03,0.85,5
20,101,1,0.04,0.8,3
20,101,1,0.05,0.75,5
20,101,1,0.06,0.75,7
20,101,1,0.07,0.75,9
20,101,1,0.08,0.8,17
20,101,1,0.09,0.5,5
20,101,1,0.1,0.5,8
20,101,2,0.0,1.0,3
20,101,2,0.01,0.9,3
20,101,2,0.02,0.85,2
20,101,2,0.03,0.85,4
20,101,2,0.04,0.8,3
20,101,2,0.05,0.75,5
20,101,2,0.06,0.75,5
20,101,2,0.07,0.75,9
20,101,2,0.08,0.45,24
20,101,2,0.09,0.45,9
20,101,2,0.1,0.45,37
20,101,3,0.0,0.65,29
20,101,3,0.01,0.65,29
20,101,3,0.02,0.65,29
20,101,3,0.03,0.65,26
20,101,3,0.04,0.65,29
20,101,3,0.05,0.7,32
20,101,3,0.06,0.7,37
20,101,3,0.07,0.65,32
20,101,3,0.08,0.65,37
20,101,3,0.09,0.6,29
20,101,3,0.1,0.6,29
20,101,4,0.0,0.89999999955,29
20,101,4,0.01,0.89999999955,29
20,101,4,0.02,0.89999999955,29
20,101,4,0.03,0.89999999955,18
20,101,4,0.04,0.89999999955,34
20,101,4,0.05,0.89999999955,34
20,101,4,0.06,0.89999999955,35
20,101,4,0.07,0.89999999955,36
20,101,4,0.08,0.89999999955,38
