run_dir,run_name,architecture,N,seed,dataset,readout,augment_train,device,num_qubits,reps,img_size,epochs_configured,epochs_completed,train_accuracy,val_accuracy,val_aug_accuracy,p4m_is_invariant
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=80_seed=1,config7,80,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.7124999999109376,0.5874999999265625,0.5999999999250001,False
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=avg_x,TRAINING.epochs=40",config6_N=80_seed=2,config6,80,2,mnist,avg_x,,default.qubit,8,2,16,40,40,0.6624999999171876,0.64999999991875,0.64999999991875,True
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=80_seed=2,config6,80,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9249999998843751,0.9124999998859376,0.9124999998859376,True
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config7,QNN.readout=avg_x,TRAINING.epochs=40",config7_N=80_seed=2,config7,80,2,mnist,avg_x,,default.qubit,8,2,16,40,40,0.5999999999250001,0.54999999993125,0.574999999928125,False
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=80_seed=2,config7,80,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.7499999999062501,0.7874999999015626,0.7499999999062501,False
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=avg_x,TRAINING.epochs=40",config6_N=80_seed=3,config6,80,3,mnist,avg_x,,default.qubit,8,2,16,40,40,0.6874999999140625,0.6624999999171876,0.6624999999171876,True
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=80_seed=3,config6,80,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9124999998859376,0.8624999998921876,0.8624999998921876,True
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config7,QNN.readout=avg_x,TRAINING.epochs=40",config7_N=80_seed=3,config7,80,3,mnist,avg_x,,default.qubit,8,2,16,40,40,0.624999999921875,0.8874999998890626,0.6874999999140625,False
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=80_seed=3,config7,80,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.6999999999125001,0.49999999993750005,0.6624999999171876,False
"results_def/multirun/2026-08-24/13-35-09/DATA.N=160,DATA.augment_train=False,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=160_seed=1,config6,160,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9187499999425781,0.8624999999460937,0.8624999999460937,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=160,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=160_seed=2,config6,160,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9249999999421874,0.8937499999441406,0.8937499999441406,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=160,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=160_seed=3,config6,160,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8999999999437499,0.8874999999445312,0.8874999999445312,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=160,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=160_seed=1,config6,160,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9187499999425781,0.8624999999460937,0.8624999999460937,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=160,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=160_seed=2,config6,160,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9249999999421874,0.8937499999441406,0.8937499999441406,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=160,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=160_seed=3,config6,160,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8999999999437499,0.8874999999445312,0.8874999999445312,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=320,DATA.augment_train=False,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=320_seed=1,config6,320,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.899999999971875,0.8968749999719726,0.8968749999719726,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=320,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=320_seed=2,config6,320,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9062499999716797,0.8937499999720703,0.8937499999720703,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=320,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=320_seed=3,config6,320,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9031249999717773,0.8906249999721679,0.8906249999721679,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=320,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=320_seed=1,config6,320,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.899999999971875,0.8968749999719726,0.8968749999719726,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=320,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=320_seed=2,config6,320,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9062499999716797,0.8937499999720703,0.8937499999720703,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=320,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=320_seed=3,config6,320,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9031249999717773,0.8906249999721679,0.8906249999721679,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=40,DATA.augment_train=False,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=40_seed=1,config6,40,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.7999999998,0.8249999997937499,0.8249999997937499,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=40,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=40_seed=2,config6,40,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.77499999980625,0.87499999978125,0.87499999978125,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=40,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=40_seed=3,config6,40,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.899999999775,0.9499999997624999,0.9499999997624999,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=40,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=40_seed=1,config6,40,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.7999999998,0.8249999997937499,0.8249999997937499,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=40,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=40_seed=2,config6,40,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.77499999980625,0.87499999978125,0.87499999978125,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=40,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=40_seed=3,config6,40,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.899999999775,0.9499999997624999,0.9499999997624999,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=640,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=640_seed=1,config6,640,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9109374999857666,0.8953124999860107,0.8953124999860107,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=640,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=640_seed=2,config6,640,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8140624999872803,0.837499999986914,0.837499999986914,True
"results_def/multirun/2026-08-24/13-35-09/DATA.N=640,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=640_seed=3,config6,640,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8890624999861084,0.9078124999858154,0.9078124999858154,True
"results_def/multirun/2026-08-24/18-57-14/DATA.N=640,DATA.augment_train=False,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=640_seed=1,config6,640,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9109374999857666,0.8953124999860107,0.8953124999860107,True
"results_def/multirun/2026-08-24/18-57-14/DATA.N=640,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=640_seed=2,config6,640,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8140624999872803,0.837499999986914,0.837499999986914,True
"results_def/multirun/2026-08-24/18-57-14/DATA.N=640,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=640_seed=3,config6,640,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8890624999861084,0.9078124999858154,0.9078124999858154,True
"results_def/multirun/2026-08-24/18-57-14/DATA.N=640,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=640_seed=1,config6,640,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9109374999857666,0.8953124999860107,0.8953124999860107,True
"results_def/multirun/2026-08-24/18-57-14/DATA.N=640,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=640_seed=2,config6,640,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8140624999872803,0.837499999986914,0.837499999986914,True
"results_def/multirun/2026-08-24/18-57-14/DATA.N=640,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=640_seed=3,config6,640,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8890624999861084,0.9078124999858154,0.9078124999858154,True
"results_def/multirun/2026-08-25/09-26-33/DATA.N=160,DATA.augment_train=False,GENERAL.seed=1,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=160_seed=1,config7,160,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8249999999484374,0.7874999999507812,0.7499999999531249,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=160,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=160_seed=2,config7,160,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8374999999476562,0.8374999999476562,0.8124999999492187,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=160,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=160_seed=3,config7,160,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.949999999940625,0.9374999999414062,0.5999999999625,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=160,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=160_seed=1,config7,160,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.7937499999503906,0.7812499999511718,0.7374999999539062,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=160,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=160_seed=2,config7,160,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.7812499999511718,0.8312499999480468,0.8249999999484374,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=160,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=160_seed=3,config7,160,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.7124999999554688,0.7749999999515624,0.7937499999503906,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=320,DATA.augment_train=False,GENERAL.seed=1,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=320_seed=1,config7,320,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9374999999707031,0.9437499999705078,0.5781249999819336,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=320,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=320_seed=2,config7,320,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.7906249999752929,0.8062499999748046,0.7781249999756836,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=320,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=320_seed=3,config7,320,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9468749999704101,0.9687499999697265,0.5968749999813476,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=320,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=320_seed=1,config7,320,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8249999999742187,0.818749999974414,0.8312499999740234,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=320,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=320_seed=2,config7,320,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.6656249999791992,0.4718749999852539,0.6624999999792969,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=320,DATA.augment_train=True,GENERAL.seed=3,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=320_seed=3,config7,320,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.7124999999777344,0.5062499999841796,0.7312499999771485,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=40,DATA.augment_train=False,GENERAL.seed=1,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=40_seed=1,config7,40,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.99999999975,0.87499999978125,0.5499999998625,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=40,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=40_seed=2,config7,40,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.7999999998,0.8499999997875,0.7999999998,False
"results_def/multirun/2026-08-25/09-26-33/DATA.N=40,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=40_seed=3,config7,40,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.77499999980625,0.72499999981875,0.6499999998375,False
